алекс: алексей
мгновень: мгновенье
межд: между
мейнстрим: мейнстрим
мелодиче: мелодических
мене: менее
менял: меняло
мероприятия: мероприятия
мест: место
местн: местная
месяц: месяц
механизм: механизмами
мешал: мешали
минут: минут
мир: миру
мног: много, многое
многократн: многократное
могл: могла
мод: моде
моден: моден
модн: модном
мож: можем
можн: можно
молод: молодой
молодеж: молодежи, молодежь
молодежн: молодежная, молодежной
молодежны: молодежные
молок: молоко
москв: москва, москве
мощн: мощная
музык: музыка, музыке, музыки, музыкой, музыку
музыкальны: музыкальные
музыкант: музыкант
мы: мы
мышц: мышц
набирает: набирает
набирал: набирала
наблюдавшим: наблюдавшим
набор: набор
названи: название, названию
называем: называемый
называемы: называемые
называться: называться
наиболе: наиболее
найт: найти
направлени: направление, направлений
направления: направления
например: например
напряжени: напряжении
населения: населения
наук: наук
научившис: научившись
научн: научный
начал: начал, начале
началас: началась
началос: началось
начин: начиная
начинает: начинает
начинается: начинается
начинают: начинают
нашим: нашим
нег: него
независим: независимо
некотор: некоторых
немал: немало
немецк: немецкая
необходим: необходимо
необычн: необычная
неординарн: неординарным
нижн: нижнего
нижни: нижний
никк: никки
ним: ним
них: них
ниш: нишу
нов: новая, нового, новое, новому, новый
новаторски: новаторские
новы: новые
нон: нон
ну: ну
нью: нью
обили: обилием, обилии
оборот: обороты
образ: образ, образе, образом
образуя: образуя
общ: общая, общем
общи: общие
объединял: объединяла
одежд: одежда
один: один
одн: одно
однак: однако
одним: одним
оказалос: оказалось
оказался: оказался
окаймлял: окаймлял
омельченк: омельченко
он: он
они: они
опиралос: опиралось
определяет: определяет
орлов: орловский
орёл: орёл
основанн: основанный
основанны: основанные
основател: основателем
основн: основных
основоположник: основоположниками
особ: особая
особенн: особенно
особенност: особенности
остановимся: остановимся
остановк: остановке, остановки
от: от
ответ: ответ
отечествен: отечественного
открывается: открывается
отличаются: отличаются
оттуд: оттуда
оукленд: оукленде
очен: очень
очеред: очередь
ошеломленны: ошеломленные
ошеломляющим: ошеломляющим
пап: пап
паппинг: паппинг, паппинга, паппинге
паренек: паренек
пат: пати
пед: пед
перв: первая, первым
первы: первые
перевод: переводе
передач: передач, передача
переместилас: переместилась
перестает: перестает
период: период
пи: пи
пионер: пионерами
пискор: пискор
пластинк: пластинки
побережь: побережье
побережья: побережья
повальн: повально
повеселиться: повеселиться
повторени: повторение
повторит: повторить
под: под
подробне: подробнее
подростк: подростки, подростков
подряд: подряд
подходил: подходили
позволил: позволили
поздне: позднее
позж: позже
показывал: показывали
показывают: показывают
пол: полу
полагалис: полагались
половин: половине
получалос: получалось
получивши: получивший
получился: получился
получит: получить
понимания: понимания
понравилис: понравились
поп: поп
попал: попал
популяризаци: популяризации
популяризируя: популяризируя
популярност: популярности, популярность
пор: поры
породит: породить
последн: последних
последни: последние
потихоньк: потихоньку
похоже: похожее
поэт: поэтому
появилос: появилось
появился: появился
появлени: появление
появляется: появляется
появляются: появляются
прав: права
правил: правила
практическ: практически
превратившиеся: превратившиеся
предложил: предложили
предназначенны: предназначенные
предполагал: предполагал
представлени: представлении
прежд: прежде
преобладающе: преобладающее
прерыв: прерывая
при: при
приведш: приведших
привнося: привнося
приглашен: приглашены
придав: придавая
придумывает: придумывает
признани: признание
применени: применение
приносят: приносят
принцип: принципов
принял: приняли
притягателен: притягателен
приходя: приходя
причинах: причинах
про: про
проводятся: проводятся
продолжал: продолжали
продолжался: продолжался
произносил: произносил
произошл: произошло
проследит: проследить
просмотренн: просмотренному
прост: просто, простой
протест: протеста
проходил: проходили
проходит: проходит, проходить
проходят: проходят
проходящи: проходящие
процесс: процессе
прошл: прошлого
проявления: проявления
птюч: птюч
публик: публики
пульсирующи: пульсирующий
пускат: пускать
пучк: пучков
пучков: пучкова
пытался: пытался
пытаяс: пытаясь
пят: пять
равенств: равенство
ради: радио
раз: раз
развит: развит
развити: развитие, развитии
развития: развития
различн: различных
размашист: размашистых
разн: разных
разнообрази: разнообразие
разумеется: разумеется
рамках: рамках
расписан: расписанного
распространени: распространение
распространилас: распространилась
распространилис: распространились
расступилас: расступилась
расшифровыв: расшифровывая
рвалас: рвалась
ребят: ребята
регулярн: регулярно
регулярны: регулярные
рейтинг: рейтинге
ритм: ритм, ритмов
ритмичн: ритмичной
робот: робот, робота, роботов
родился: родился
родословн: родословная
рожден: рожден
ролик: ролик
росси: россии
российск: российской
россия: россия
рост: ростом
рубрик: рубрика
рук: руками
руководител: руководитель
русск: русского
рф: рф
рэп: рэп
рязанц: рязанцев
сакрамент: сакраменто
сам: сам
самосознания: самосознания
сан: сан
сво: свой, свою
сводит: сводить
своим: своими
сегодня: сегодня
сейчас: сейчас
секрет: секрет
сер: серов
сергиенк: сергиенко
силов: силовых
сильн: сильно, сильный
синкоп: синкоп
сказывается: сказывается
сла: слай
слаб: слабым
следующим: следующим
слов: слов, слова
сложилас: сложилась
случайн: случайно
смарт: смарт
смес: смесь
смог: смог
смотря: смотря
снят: снят
со: со
событ: событиями
совершенн: совершенно
советск: советском
современн: современных
создат: создать
сознани: сознание
соин: соина
соломон: соломон
сообразит: сообразить
соответствовал: соответствовал
соревнования: соревнования
соревнуются: соревнуются
социаль: социального
социальн: социально
союз: союзе
специальн: специально, специальное
список: список
способн: способны
способствовал: способствовало
спрашивал: спрашивали
сред: среде
ссср: ссср
ставил: ставили
стал: стал, стала, стали
становится: становится
становиться: становиться
становятся: становятся
стар: стар, старый
стартует: стартует
стил: стилей, стили, стиль, стилю
стиля: стиля
стоп: стоп
стоун: стоун
стр: стр
стремительн: стремительное
студент: студент
студи: студий
субкультур: субкультуры
субкультурах: субкультурах
суд: судей
сформировалис: сформировались
сформироват: сформировать
сформулироват: сформулировать
сцен: сцене
съездит: съездить
сэм: сэм
так: такое
такт: такт
тамб: тамбов
танец: танец
танц: танца, танце, танцев, танцы
танцах: танцах
танцевал: танцевал, танцевали
танцеваль: танцевального
танцевальн: танцевальная, танцевальное, танцевальной, танцевальный, танцевальных
танцевальны: танцевальные
танцеват: танцевать
танцор: танцора, танцорам, танцорами, танцоров, танцоры
танцуют: танцуют
танцующи: танцующий
тат: тати
те: те
телевидени: телевидение
телевизионн: телевизионных
телевизор: телевизор, телевизору
тем: тем
темнокож: темнокожего
тенденци: тенденции
термин: термин, терминов, термином, термину
тех: тех
техник: техниками
течени: течение, течении
течения: течения
тинейджерс: тинейджерс
тих: тихо
товар: товары
тогд: тогда
тож: тоже
той: той
толп: толпа, толпами
том: том
томпсон: томпсон
трюк: трюков
туннел: туннель
тусовк: тусовки
уверенност: уверенности
увидет: увидеть
удалос: удалось
ударн: ударных
удержив: удерживая
удовольстви: удовольствие
уже: уже
улиц: улиц, улице
улицах: улицах
улич: уличного
уличн: уличной, уличный, уличных
уличны: уличные
умел: умели
уникальн: уникальным
уникальност: уникальности
уникальны: уникальные
упомянут: упомянуть
усил: усилиями
участи: участие
училис: учились
фактор: фактор, фактора
фанк: фанк, фанке, фанки
фанкову: фанковую
фантази: фантазию
фестивал: фестивали, фестиваль
фиксац: фиксацией
фильм: фильм
флэш: флэшем
фон: фоне
форм: формами
формаци: формации
формировани: формировании
формироваться: формироваться
формируется: формируется
фрагмент: фрагменты
фраз: фраз
франциск: франциско
фристайл: фристайл
футворк: футворк
хаммер: хаммера
характеризуются: характеризуются
хаус: хаус, хаусом
херк: херк, херком
хип: хип
хоп: хоп, хопа, хопу
хореографи: хореографии
хорош: хорошо
хотел: хотели
хх: хх
цвет: цвета
центр: центра
част: часто, частое, часть
человек: человеком
чем: чем
через: через
чернокожи: чернокожие
чикен: чикен
что: что
чут: чуть
шестидесят: шестидесятых
шестидесяты: шестидесятые
широк: широких, широко, широкой
школ: школа
экспериментироват: экспериментировать
экстрим: экстрим
электрик: электрик
элемент: элементов, элементы
эмоциональн: эмоциональным
энергичн: энергичном
эстетик: эстетике
этаки: этакий
эти: эти
это: это, этой
этог: этого
этом: этом, этому
этот: этот
является: является
ярк: яркая, ярком
