xviiвв: xviiвв
особенност: особенности
от: от
ответственн: ответственным
отдыхат: отдыхать
отзывчив: отзывчивым
отношени: отношений
оторванност: оторванность
отправн: отправной
отслужив: отслужив
отсрочк: отсрочку
охот: охоту
очен: очень
пастбищ: пастбища
пахом: пахомов
пахомов: пахомова, пахомовых
педагог: педагог
передат: передать
переселения: переселения
переселенц: переселенцами
перм: пермь
петровн: петровна
писал: писал
писател: писателями
плодотворну: плодотворную
побывав: побывав
поддерживал: поддерживал
подряд: подряд
познакомилис: познакомились
познакомиться: познакомиться
поколени: поколением, поколений
поколенн: поколенной, поколенный
полк: полку
помогал: помогал
порядках: порядках
поселилос: поселилось
посл: после
последним: последними
послужит: послужить
пособи: пособие
постепенн: постепенно
потомк: потомков
практиче: практическое
преданиям: преданиям
преданност: преданности
предводителя: предводителя
предк: предки, предков
предках: предках
предприятия: предприятия
прекрасн: прекрасных
преодолени: преодолении
придерживался: придерживался
призван: призван
признал: признали
пример: пример
принадлежат: принадлежат
принят: принято
присвоени: присвоении
притеснени: притеснений
причин: причиной
проблем: проблема
продолжают: продолжают
прокопьевн: прокопьевна
проникновенн: проникновенных
прост: простых
пространств: пространства
против: против
процесс: процесс
прям: прямых
пряталис: прятались
публицист: публицисту
работ: работу
радовал: радовал
развлечени: развлечений
разгром: разгрома
район: района, районе, районного
ранни: ранний
распространилис: распространились
рассказывают: рассказывают
расстояни: расстоянии
ребенк: ребенком
режим: режим
рек: реки, реку
рекомендаци: рекомендации, рекомендацию
республик: республика
род: рода, родного
родился: родился
родител: родители
родн: родным, родных
родну: родную
родословия: родословия
родословн: родословная, родословное, родословной, родословных
родословну: родословную
родств: родстве
рол: роль
роман: роман
роспис: росписи, роспись
рост: ростом
руководител: руководителем, руководитель
рф: рф
рыбалк: рыбалку
ряд: ряды
сах: саха
сахалинск: сахалинской
сбор: сбора
сведения: сведения
сво: свое, своего, своей, своему, свои, своих, свою
своим: своим, своими
связ: связи
сделат: сделать
сейчас: сейчас
семейн: семейном, семейный
семеновн: семеновна
семь: семье, семьей, семьи
семья: семья
сенокосны: сенокосные
сиинэ: сиинэ
синяя: синяя
систематизировал: систематизировали
систематизироват: систематизировать
сказан: сказано
скольк: сколько
скотовод: скотоводы
слов: слов, слова
служб: службу
служил: служил
со: со
соболоох: соболоох
советск: советской
современн: современном
составил: составили
составит: составить
составлени: составление, составлению
союз: союза
союзническ: союзническому
список: список
срастаяс: срастаясь
сред: средней
ссср: ссср
становится: становится
становяс: становясь
станци: станции
степанович: степанович
стих: стихов
стрелков: стрелковом
строитель: строительного
судьб: судьбы
сует: суеты
считаются: считаются
таблиц: таблиц
так: такого
таким: таким
тво: твое
территори: территории
тольк: только
точк: точкой
традиционну: традиционную
традициях: традициях
требовательн: требовательным
тыгын: тыгына, тыгыном
убегал: убегали
угодья: угодья
удивлял: удивлял
уже: уже
узнал: узнали
улиц: улицы
улус: улус
успел: успел
установил: установили
устоях: устоях
уу: уу
участвовал: участвовал
участк: участке
учениц: ученица
учён: учёными
фашистк: фашисткой
философ: философами, философу
форм: форме
фотограф: фотографиями
фотографировани: фотографирование
фронт: фронта
ха: ха
хайлар: хайлар
хангалас: хангаласский
хангаласц: хангаласцы
хранит: хранить
цдо: цдо
цел: цель
ценност: ценность
центр: центра
человек: человека
человече: человеческая, человеческих
чем: чем
через: через
член: члена, членов
что: что
чутким: чутким
шологонск: шологонского
эллэя: эллэя
эти: эти
этногенез: этногенеза
этносоциальны: этносоциальные
это: это
южн: южно
являемся: являемся
якут: якуты
якутия: якутия
якутски: якутские
япони: японии
ясак: ясака
ячейк: ячейка
