абсолютн: абсолютно
специфик: спецификой
специфиче: специфических
специфически: специфические
список: список
сплочения: сплочения
спорну: спорную
способ: способа
сред: среде, среди, среды
средств: средства, средствами
ссср: ссср
ставропол: ставрополь
стал: стали
сталинград: сталинграда
становится: становится
становятся: становятся
стародавн: стародавних
стат: стать
стать: статье
степен: степень
стимуляция: стимуляция
стол: столь
столиц: столиц, столица, столицей, столицы
сторон: сторон
стран: стран, страны
странах: странах
стратегическ: стратегической, стратегическом
строилис: строились
строительств: строительство
сугуб: сугубо
суздал: суздаль
сумасшедши: сумасшедшие
супер: супер
сутк: сутки
существ: существо, существу
существовал: существовало
существует: существует
существуют: существуют
счёт: счёт
сша: сша
так: таких, таков, такого, такое
таки: такие
таков: такова, таковы
тактик: тактика
таллинн: таллинн
там: там
танков: танковых
тауматауакатангиангакоауауотаматеапокануэиуакитаиатах: тауматауакатангиангакоауауотаматеапокануэиуакитаиатаху
тегеран: тегеран
тезк: тезки
телевидени: телевидение
тем: тем, тему
темате: тематеа
темп: темпами
тенденци: тенденций
теоретик: теоретиком
теоретиче: теоретических
терминологи: терминологии
тесн: тесно, тесных
теснот: теснота
техническ: технической
технологически: технологические
техран: техран
течения: течения
тип: тип, типа
тог: того
токи: токио
токё: токё
тольк: только
том: том, тому
топоним: топонимов, топонимы
топонимик: топонимика, топонимики
топос: топос
торговл: торговле
торговля: торговля
торговц: торговца
тот: тот
точек: точек
точк: точка
точне: точнее
традицион: традиционного
традиционн: традиционное
транспорт: транспорте
трети: третий
троицк: троицк
троцк: троцк
труд: труда
трудолюбив: трудолюбивого
трумэн: трумэн
туризм: туризма
тысяч: тысяч
увлечени: увлечение
увы: увы
углублени: углубление
удручающе: удручающее
указани: указание
указанн: указанных
указанны: указанные
укоренилис: укоренились
уличн: уличное
ультрасовременн: ультрасовременных
умышленн: умышленно
уничтожени: уничтожение
упомянул: упомянули
употреблени: употребление
управлени: управление
управления: управления
управляемост: управляемости
уругв: уругвая
усиливаются: усиливаются
услов: условиями
условия: условия
условиях: условиях
устойчивост: устойчивости
уступил: уступил
участк: участке
учен: ученый
учения: учения
учены: ученые
учёт: учётом
уэну: уэнуа
фаз: фаза, фазе
факт: факт
фактах: фактах
фактор: факторы
фамил: фамилиями
флейт: флейте
флитвуд: флитвуд
фонетическ: фонетической
форм: форм
формируют: формируют
франци: франции
функци: функции, функций
характер: характера
характеризуется: характеризуется
характерн: характерной
херсон: херсон
хиросим: хиросимы
хозяйств: хозяйства
хорош: хорошо
хотя: хотя
хрупок: хрупок
художественны: художественные
цел: цели, целом, целых
цель: целью
целях: целях
центр: центры
цивилизаци: цивилизации
цивилизация: цивилизация
цивильн: цивильное
цифрах: цифрах
чариотир: чариотир
част: частей, части, часто, часть
часть: частью
частях: частях
человек: человека
человечеств: человечества
черед: череда
через: через
черноголовк: черноголовка
черт: чертами, чертой, черты
чешски: чешские
числ: числе, число
чист: чисто
членкор: членкор
чрезвычайн: чрезвычайное
что: что
чувств: чувств, чувство
чём: чём
шанха: шанхай
шар: шара, шаре
швед: шведский
шестидесят: шестидесяти
широк: широко
широки: широкий
шла: шла
шлиссельбург: шлиссельбург
штат: штат
шум: шум
щербак: щербаков
экономиче: экономическая
экономическ: экономического, экономической
экскурс: экскурс
эксм: эксмо
элемент: элемента
элитари: элитарий
эмоциональн: эмоционально
эпох: эпоху
эта: эта
эти: эти
этих: этих
этниче: этнический
этническим: этническим, этническими
этнос: этноса
это: это, этой
этог: этого
этом: этом
явлени: явление
является: является
являлос: являлось
являются: являются
язык: языка
языкознания: языкознания
ясн: ясно
ястреб: ястребов
яуз: яуза
