аба: аб
состояние: состоянии, состоянию
социализм: социализм
социальный: социальное
соцыум: соцыум
спажыванна: спажыванне
спекулявать: спекулявал
спр: спр
спра: спра
справа: справа, справах, справы
спына: спын
спыненний: спынення
спявый: спявая
сродка: сродка
ст: ст
стам: стам
стан: стан, станов
старычный: старычных
старэйш: старэйшы
статыстыца: статыстыцы
статья: статье
стаць: стаць
стая: стай
стварало: стварала
сто: ста, сто
страц: страц
страцый: страцыя
страёк: страйка
строгий: строга
структура: структура
стст: стст
студзенить: студзеня
ступленна: ступленне
стычнать: стычнай
стычный: стычная, стычныя
стэма: стэма
стэрство: стэрству
субардынаца: субардынацы
сувязнуть: сувяз
суд: суды
судовать: судовай
сума: суму
супака: супакою
супрац: супрац
сустракалася: сустракалася
сутыкать: сутыкал
сцяга: сцяга
сы: сы
сюджанай: сюджанае
сюджванна: сюджванне
ся: ся
сялян: сялянам
сярод: сярод
сярэдз: сярэдз
сярэдна: сярэдн
тавар: тавар, тавару
таварыство: таварыства
таког: такога
таксама: таксама
талог: талог
талый: тал, тала
тан: тан
таратур: таратура, таратуры
тацый: тацыя
тбш: тбш
той: тое
торг: торгу
тра: тра
тракец: тракце
транспарант: транспаранты
транспарта: транспарту
транспартнагой: транспартнага
транспарц: транспарц
трапляла: траплял
троха: трох
трудящийся: трудящихся
тры: тры
трымаленький: трымал
трымл: трымл
туацыять: туацыяй
тур: тур
турм: турмы
турэмнагой: турэмнага
тыс: тыс
тычнать: тычнай
тычный: тычная, тычных
тыя: тыя
тэрытарыяльнагой: тэрытарыяльнага
тэрытор: тэрыторы
тэрыторый: тэрыторыя
тэта: тэт
тэхн: тэхн
угало: угало
уделяться: уделяется
удзелама: удзелам
уезд: уезда
узарваный: узарваны
узро: узро
улада: улады
умешвалася: умешвалася
уна: ун
унутранай: унутранай
управление: управлением, управлений, управления
урадавый: урадавым
ус: ус
усю: усю
фальшыв: фальшывых
фальшываманетчык: фальшываманетчыкам
фасон: фасон
фашизм: фашизму
фон: фоне
фонд: фонд
форма: форму, формы
фронт: фронт
функец: функцы
фурманка: фурманку
хайло: хайл
хапать: хапала
харчаванний: харчавання
хломка: хломка
храм: храма
хрысца: хрысц
хто: хто
хутка: хутка
хх: хх
ца: ца
цай: цай
цам: цам
царква: царкву
цах: цах
цер: цер
цк: цк
цтво: цтва
цця: цця
цы: цы
цыган: цыган
цыйнать: цыйнай
цыю: цыю
цыя: цыя
цыять: цыяй
ць: ць
цэйск: цэйск
цэйскага: цэйскага
цэйскай: цэйскай
цэн: цэнах
цэнтральный: цэнтральны
цэра: цэра
цэск: цэск
цяжк: цяжк
цяжэя: цяжэй
цёк: цёкам
чалавек: чалавек
чалый: чал, чала
чан: чаны
час: час, часам
часткова: часткова
чатыроха: чатырох
чвалася: чвалася
членск: членск
чнагой: чнага
чный: чных
что: што
чы: чы
чыгуначнагой: чыгуначнага
чыгуначный: чыгуначны
чыгунк: чыгунк
чым: чым
чын: чына, чыну
чырвоной: чырвоных
чыть: чыта
чышчанний: чышчання
чэрвеня: чэрвень
шараго: шараго
шарагов: шараговы
шараговага: шараговага
шараговый: шараговым, шараговых
шаранго: шаранго
школа: школы
школьный: школьная
шл: шл
шлюба: шлюб
шмат: шмат
шматлы: шматл
штатный: штатному
штогод: штогод
штодзень: штодзень
штомесяц: штомесяц
штомесячный: штомесячным
штост: штосты
штука: штук
шча: шча
шчучын: шчучынам
шчыльнасць: шчыльнасць
шыба: шыбу
шырокай: шырокае
шых: шых
шэрага: шэраг
эк: эк
экан: эканам
экзэмпляр: экзэмпляра
экономический: экономического
экспаз: экспаз
экспарта: экспарт, экспарту
эпидемический: эпидемическими
эпоха: эпох
этычный: этычны
юла: юл
яго: яго
яе: яе
язэп: язэпа
як: як
якать: якая
яког: якога
якома: якому
ям: ям
яма: яму
ян: ян
янк: янк
янство: янства, янствам
яный: яныя
ёй: ёй
ёра: ёрах
