абстракция: абстракция
механизм: механизм
мешал: мешали
многи: многие
многогранн: многогранна
могл: могла
можн: можно
момент: момент
монастыр: монастыре, монастырская, монастырь
монастыря: монастыря
монастырям: монастырям
монгол: монголией, монголо, монголов, монголы
монголь: монгольская
монгольск: монгольской
москв: москвы
мурад: мурад
мы: мы
над: над
назвал: назвали
наиболе: наиболее
найт: найти
налет: налета
нам: нами
например: например
наработк: наработки
народ: народов, народом
народн: народной, народных
народност: народностей
народны: народные
насто: настоями
настольк: настолько
наступлени: наступление
наук: наук, наука, наукой
научн: научная, научный
находилас: находилась
национальност: национальность
начал: начала
началос: началось
наш: нашей, наши, наших
нашестви: нашествие
нашествия: нашествия
небольш: небольшой
невозможн: невозможно
независим: независимо
ней: ней
нек: некая
некотор: некоторыми, некоторых
нельзя: нельзя
нем: нем
необходим: необходимо, необходимым
необходимост: необходимость
непосредственн: непосредственно
непострадавши: непострадавший
нескольк: несколько
никитин: никитина
ним: ними
нобелевск: нобелевской
нов: новому
новаторски: новаторские
нормальн: нормально, нормальный
нрав: нравы
об: об
обзор: обзор
област: области
облик: облика
образ: образ
образовалос: образовалось
обращаяс: обращаясь
обслуживани: обслуживание
обслуживания: обслуживания
обходим: обходимых
обширны: обширные
общ: общая
объединит: объединить
объяснения: объяснения
объясняются: объясняются
обыча: обычаи
одолевал: одолевали
она: она
операци: операции
оперирования: оперирования
описани: описание
определенн: определенный
опыт: опыт
организм: организм
орд: орды
орден: ордену
орёл: орёл
основ: основой
основн: основном
основны: основные
особенност: особенности
осознат: осознать
оставил: оставило
остается: остается
остановилас: остановилась
остановилос: остановилось
от: от
отвар: отварами
отдаленн: отдаленных
отделени: отделение
открыт: открыта
отметит: отметить
относятся: относятся
отношени: отношении
отношения: отношения
отпор: отпор
отрасл: отрасль
отремонтирован: отремонтирован
отсталост: отсталости
отсутстви: отсутствие
охватывает: охватывает
охватывается: охватывается
охран: охраны
очен: очень
павл: павлов
палат: палатами
перв: первого, первое
перебоях: перебоях
переведен: переведены
переживает: переживает
переходит: переходите
период: период, периода, периоды
петрович: петрович
печор: печорская
планируется: планируется
платит: платить
племен: племен
плод: плоды
плодотворн: плодотворной
поведения: поведения
повествования: повествования
повлияет: повлияет
повод: поводу
повседневн: повседневная
погром: погромов
под: под
подвержен: подвержен
подготовк: подготовке
подробн: подробная
подтверждающим: подтверждающим
подтверждения: подтверждения
поединк: поединка
пожалу: пожалуй
пол: поле, полного
политик: политика
политиче: политических, политическое
политическ: политической
политическим: политическим
политическу: политическую
полн: полной
помим: помимо
помнит: помнить
помогл: помогло
помощ: помощи
понят: понять
попадает: попадает
попал: попала
поскольк: поскольку
посл: после
последовательност: последовательность
постепенн: постепенно
пот: потому
потребност: потребности
поэт: поэтому
правил: правил
правител: правителями
практик: практики
практическ: практически
предк: предки
предоставит: предоставить
представлен: представлена
представляет: представляет
представлял: представляла
прежд: прежде
прежн: прежнему
преми: премии
при: при
привыч: привычного
прием: приемов
применения: применения
применялос: применялось
принят: приняты
приобрел: приобрела
природ: природе
приходил: приходили
причин: причиной
проведения: проведения
продолжал: продолжали
продолжалас: продолжалась
проживал: проживал
произошл: произошло
происходил: происходило
происходящ: происходящая
происхождения: происхождения
просил: просили
прост: просто, простой
простор: просторам
протекания: протекания
процентн: процентном
прошл: прошлого
психиатри: психиатрии
развивалас: развивалась
развити: развитие, развитии
развития: развития
раздробленност: раздробленность
различн: различных
различны: различные
разн: разному
разобщенност: разобщенность
разрушен: разрушен
районах: районах
рамках: рамках
ранен: раненых
раскрыт: раскрыть
раскрытия: раскрытия
расположенн: расположенный
распространени: распространению
рассказат: рассказать
рассматриваем: рассматриваемой
рассматривается: рассматривается
рассматриват: рассматривать
рассмотрет: рассмотреть
рассмотрим: рассмотрим
регионах: регионах
результат: результат, результате
ресурс: ресурсы
рецесси: рецессии
ровесниц: ровесница
роман: романов
росси: россии
россий: российский
российск: российской
руководител: руководитель
рус: руси, русская, русских, русь
русск: русского, русской
русски: русские
рухнул: рухнула
рф: рф
саванн: саванны
сам: самих, само, самого, самое, самой
сарафан: сарафанов
светск: светской
светски: светские
сво: своей
сделан: сделано
сделат: сделать
себ: себе
себя: себя
север: севере
северн: северных
сегодня: сегодня
сильн: сильный
симонов: симонова
сказал: сказал
след: след
следующим: следующим
слов: слова, словами
служб: службы
служил: служил
случаях: случаях
слушател: слушатель
соб: собой
собир: собирая
собрат: собрать
событи: событие, событием, событий
событиям: событиям
совершенн: совершенно
содержатся: содержатся
создан: создано
созданн: созданная
создат: создать
сознани: сознанием
сообщаются: сообщаются
соответственн: соответственно
соответствующ: соответствующих
состав: состава
состояни: состояние, состоянии
состояния: состояния
состоящ: состоящая
социальну: социальную
специалист: специалистов
список: список
сплотиться: сплотиться
сплоченност: сплоченности
способствовал: способствовало
сраз: сразу
средни: средние
средств: средств
ссср: ссср
стабилен: стабилен
стагнаци: стагнации
стал: стал, стала, стало
становлени: становление
становления: становления
стать: статьи
стенах: стенах
стоит: стоит
стол: столь
стояни: стоянием
сут: суть
существовал: существовала
сфер: сферы
счита: считаем
считается: считается
так: такое, такой
таки: такие
татар: татар, татарский, татарское, татары
татарск: татарского, татарской
татарску: татарскую
татарстанск: татарстанской
тем: темы
тенденция: тенденция
теоретиче: теоретических
территори: территории, территорию
тесн: тесно
тех: тех
тибетск: тибетской
тог: того
тогд: тогда
тож: тоже
тольк: только
том: том
трав: трав, травами
традици: традиции
традиционн: традиционно
трансформировалас: трансформировалась
труд: трудам, трудов
тюркск: тюркского
угр: угре
уделяется: уделяется
удоб: удобного
удовлетворит: удовлетворить
уже: уже
указанн: указанный
улучшения: улучшения
умерш: умерших
умирал: умирали
упоминалос: упоминалось
уровн: уровне
усилия: усилия
установлени: установлением
ухаживал: ухаживали
учебн: учебное
учебник: учебников
учен: ученый
учреждения: учреждения
факт: факт, фактов
фармаци: фармации
федеральн: федеральной
федераци: федерации
феодальн: феодальная
формировалис: формировались
формируются: формируются
хан: хана, ханам, хану
ход: ходе
хотелос: хотелось
хотя: хотя
храм: храм, храме, храмы
хрониках: хрониках
хрупки: хрупкий
целител: целителей, целителями
целительниц: целительницы
целительств: целительства, целительство
центр: центром
централизация: централизация
церкв: церквей
церков: церковь
част: части
часть: частью
человек: человека
человече: человеческий
человеческ: человеческого, человеческой
чем: чем
черед: череду
четк: четкого
читателям: читателям
что: что
чудов: чудово
широк: широко, широкое
экономик: экономике
экономическу: экономическую
эпох: эпохе, эпохи, эпоху
эта: эта
этап: этапе, этапы
это: это, этой
этог: этого
этом: этом
этот: этот
юрьев: юрьевская
явлени: явление
явления: явления
является: является
ярлык: ярлык
