абылд: абылда
динамикалард: динамикаларды
дипломатия: дипломатия
дипломатиял: дипломатиялы
дипломатиян: дипломатияны
доцент: доцент
егеменд: егеменд
ел: ел
елд: елд
елдер: елдер
елдермен: елдермен
емес: емес
ерекш: ерекше
ес: ес
ест: ест
ет: ет
ете: ете
етед: етед
етет: етет
еткен: еткен
етт: етт
ету: ету
еуроп: еуропа
еуропад: еуропада
жа: жа
жал: жал
жалп: жалпы
жан: жан
жанжалдард: жанжалдарды
жар: жар
жатт: жатты
жаттард: жаттарды
жет: жету
жетекш: жетекш
жетк: жетк
жобалар: жобалар
жобалард: жобаларды
жол: жолы
жолдан: жолдан
жолдарын: жолдарын
жолмен: жолмен
жоспарлар: жоспарлары
жпнэл: жпнэль
жыл: жылы
жырымдам: жырымдама
жырымдамадан: жырымдамадан
заманау: заманауи
заманынан: заманынан
зар: зара
зг: зг
згер: згеру
згерт: згерту
згертт: згертт
згертуд: згертуде
згертудег: згертудег
зд: зд
зде: здеу
зделген: зделген
здер: здер
здест: здест
здеуд: здеуде
зертте: зерттеу
зерттейд: зерттейд
зерттеуд: зерттеуде
зерттеулерд: зерттеулерд
зу: зу
зуд: зуд, зуде
идаттард: идаттарды
идаттарын: идаттарына
идеялар: идеялар
идеялард: идеяларды
идеялардан: идеялардан
идеян: идеяны
икемд: икемд
имыл: имыл
имылд: имылды
инвестиция: инвестиция
инвестициялар: инвестициялар
институттар: институттар
институттард: институттарды
интеграциял: интеграциялы
инфр: инфра
исл: ислам
ият: ият
йес: йес
йым: йымы
йымдар: йымдар
каспи: каспий
кафедрасын: кафедрасыны
ке: ке
кел: кел
келд: келд
келед: келед
келт: келт
кибер: кибер
кке: кке
ккен: ккен
климатт: климатты
конвенциялар: конвенциялар
контекст: контекст
конференция: конференция
кт: кт
ктег: ктег
ктер: ктер
ктерд: ктерд
ктес: ктес
ктест: ктест
ктестермен: ктестермен
ку: ку
ландырад: ландырады
лг: лг
лге: лге
лгер: лгер
лд: лд
лем: лем
лемд: лемд, лемде
лемдег: лемдег
лемн: лемн
лер: лер
лес: лес
лет: лету
лжан: лжан
лтан: лтан
лтт: лтт, лтты
лттар: лттар
ма: ма
маршруттар: маршруттар
мд: мд
мдемелер: мдемелер
мдер: мдер
мдерд: мдерд
мектест: мектест
мемлекетк: мемлекетке
мемлекетт: мемлекетт
мемлекеттер: мемлекеттер
мемлекеттерд: мемлекеттерд
мемлекеттермен: мемлекеттермен
мен: мен
мк: мк
мойындап: мойындап
мтыл: мтыла
мтылад: мтылады
мтылд: мтылды
мтылу: мтылуы
мтылыстарын: мтылыстарын
мтылысын: мтылысын
мыс: мыс
мысал: мысал, мысалы
мысалдар: мысалдары
мысалдарын: мысалдарыны
назар: назар
назарбаевт: назарбаевты
най: най
научн: научный
нг: нг
нд: нд
нда: ндай
нде: нде
ндег: ндег
ндет: ндет
нег: нег
нед: нед
нен: нен
нормалар: нормалар
ну: ну
нш: нш
ны: ны
нысандарын: нысандарын
ода: ода
ойма: оймай
ойынш: ойыншы
ол: ол
олард: оларды
олда: олдау
олдайд: олдайды
оны: оны
ор: ор
органдар: органдар
орн: орны
орнын: орнына
орт: орта
орын: орын
орытынд: орытынды
осы: осы
осылайш: осылайша
осында: осындай
отырып: отырып
пайдаланад: пайдаланады
пайдаланатын: пайдаланатын
пал: пал
париж: париж
пен: пен
пжа: пжа
постк: постке
президент: президент
проблемалард: проблемаларды
процестерг: процестерге
пс: пс
пт: пт
птеген: птеген
птерг: птерге
птест: птест
ра: ра
рал: ралы
ралдар: ралдар
ралын: ралына
ран: ран
рат: рат
рбиес: рбиес
рг: рг
рге: рге
рде: рде
ред: ред
рек: рек
рес: рес, ресе, ресу
ресм: ресми
республикаларын: республикаларыны
республикасын: республикасыны
рет: рет
ретте: реттеу
рибес: рибес
рл: рл
рле: рлеу
рлес: рлес
рлым: рлым
рмет: рмет
рметт: рметт
рметте: рметтеу
рс: рс
рсет: рсете
рсетед: рсетед
рсетт: рсетт
рт: рт
ру: ру
руг: руге
руд: руде
руководител: руководитель
рш: рш
рыл: рылым
рын: рын
рып: рып
са: са
салалард: салаларда
саласынд: саласында
салуд: салуды
саттар: саттар
сауд: сауда
сахн: сахна
саяс: саяси
саясат: саясат, саясаты
саясатт: саясатта, саясатты
саясатын: саясатын, саясатына, саясатыны
селелерд: селелерд
сен: сен
сер: сер, сере
серп: серп
сирияд: сирияда
сия: сия
содан: содан
сонда: сондай
сонымен: сонымен
спе: спе
сс: сс
ст: ст
стан: стан
станд: станды
станн: станны
станымын: станымын
статикал: статикалы
стратегия: стратегия
стратегиял: стратегиялы
стратегиялар: стратегиялар
стратегияларын: стратегияларын
стратегиясын: стратегиясын, стратегиясыны
студент: студент
сурет: сурет
сыйласт: сыйласты
сын: сын, сына, сыну
сырт: сырт
та: та
табылад: табылады
тайд: тайды
талда: талдау
талданад: талданады
тан: тану
тануд: тануды
танудан: танудан
тараптар: тараптары
тарт: тарта
тарын: тарын
тас: тасу
таст: тасты
тау: тау
те: те
тем: тем
терроризмг: терроризмге
ти: ти
тк: тк
транскаспи: транскаспий
тт: тт
туд: туд
тулеков: тулекова
турал: туралы
тш: тш
ты: ты
тыл: тылы
уелс: уелс
улар: улар
университет: университет
фактор: фактор
формальд: формальды
форумдар: форумдар
хал: халы
ша: ша
шанха: шанхай
шарттард: шарттарды
ше: ше
шеш: шеш, шешу
шешуг: шешуге
шешуд: шешуде
шешуш: шешуш
шу: шу
шы: шы
ыда: ыда
ызд: ызды
ызметт: ызметт
ызы: ызы
ыла: ылау
ылы: ылы
ылым: ылыми
ын: ын
ына: ына
ындауд: ындауда
ындауш: ындаушы
ынтым: ынтыма
ыны: ыны
ып: ып
ыра: ыра
ыст: ысты
ыстард: ыстарды
ыт: ыт
ыта: ытай
ыттарын: ыттарына
ыты: ыты
эволюцияс: эволюциясы
эволюциясын: эволюциясын
экономик: экономика
экономикал: экономикалы
экспорт: экспорты
экстремизмг: экстремизмге
элементтер: элементтер
энергетик: энергетика
энергетикал: энергетикалы
эыд: эыд
ядрол: ядролы
